"","water_flow"
"2015-12-03 17:00:00",44.1056751142413
"2015-12-03 18:00:00",45.2742217564101
"2015-12-03 19:00:00",46.1832855043055
"2015-12-03 20:00:00",44.1725359439616
"2015-12-03 21:00:00",45.4924582044775
"2015-12-03 22:00:00",44.6963140744496
"2015-12-03 23:00:00",42.9936954340772
"2015-12-04 00:00:00",44.7286444057252
"2015-12-04 01:00:00",46.9725454272353
"2015-12-04 02:00:00",44.7343069541151
"2015-12-04 03:00:00",46.3981273184701
"2015-12-04 04:00:00",45.5904026454169
"2015-12-04 05:00:00",45.5247357763458
"2015-12-04 06:00:00",43.3244893625393
"2015-12-04 07:00:00",44.1057705281465
"2015-12-04 08:00:00",42.4252255882423
"2015-12-04 09:00:00",43.1432859614856
"2015-12-04 10:00:00",44.6719559095069
"2015-12-04 11:00:00",46.7998657341527
"2015-12-04 12:00:00",43.4716096926165
"2015-12-04 13:00:00",46.13864132479
"2015-12-04 14:00:00",44.3832867793597
"2015-12-04 15:00:00",43.5810209292308
"2015-12-04 16:00:00",46.2060752865254
"2015-12-04 17:00:00",44.4640003405792
"2015-12-04 18:00:00",44.4640003405792
"2015-12-04 19:00:00",44.4640003405792
"2015-12-04 20:00:00",44.4640003405792
"2015-12-04 21:00:00",44.4640003405792
"2015-12-04 22:00:00",44.4640003405792
"2015-12-04 23:00:00",44.4640003405792
"2015-12-05 00:00:00",44.4640003405792
"2015-12-05 01:00:00",44.4640003405792
"2015-12-05 02:00:00",44.4640003405792
"2015-12-05 03:00:00",44.4640003405792
"2015-12-05 04:00:00",44.4640003405792
"2015-12-05 05:00:00",44.4640003405792
"2015-12-05 06:00:00",44.4640003405792
"2015-12-05 07:00:00",44.4640003405792
"2015-12-05 08:00:00",44.4640003405792
"2015-12-05 09:00:00",44.4640003405792
"2015-12-05 10:00:00",44.4640003405792
"2015-12-05 11:00:00",44.4640003405792
"2015-12-05 12:00:00",44.4640003405792
"2015-12-05 13:00:00",44.4640003405792
"2015-12-05 14:00:00",44.4640003405792
"2015-12-05 15:00:00",44.4640003405792
"2015-12-05 16:00:00",44.4640003405792
"2015-12-05 17:00:00",44.4640003405792
"2015-12-05 18:00:00",44.4640003405792
"2015-12-05 19:00:00",44.4640003405792
"2015-12-05 20:00:00",44.4640003405792
"2015-12-05 21:00:00",44.4640003405792
"2015-12-05 22:00:00",44.4640003405792
"2015-12-05 23:00:00",44.4640003405792
"2015-12-06 00:00:00",44.4640003405792
"2015-12-06 01:00:00",44.4640003405792
"2015-12-06 02:00:00",44.4640003405792
"2015-12-06 03:00:00",44.4640003405792
"2015-12-06 04:00:00",44.4640003405792
"2015-12-06 05:00:00",44.4640003405792
"2015-12-06 06:00:00",44.4640003405792
"2015-12-06 07:00:00",44.4640003405792
"2015-12-06 08:00:00",44.4640003405792
"2015-12-06 09:00:00",44.4640003405792
"2015-12-06 10:00:00",44.4640003405792
"2015-12-06 11:00:00",44.4640003405792
"2015-12-06 12:00:00",44.4640003405792
